cell_id,grid_x,grid_y,week,long,lat,cases,cummulative_deaths
01_05,1,5,11,-3.2928919006633097,411.6215819834096,0,0
01_05,1,5,12,-3.2928919006633097,411.6215819834096,10,10
01_05,1,5,13,-3.2928919006633097,411.6215819834096,30,40
01_05,1,5,14,-3.2928919006633097,411.6215819834096,54,94
01_05,1,5,15,-3.2928919006633097,411.6215819834096,24,118
01_05,1,5,16,-3.2928919006633097,411.6215819834096,37,155
01_05,1,5,17,-3.2928919006633097,411.6215819834096,33,188
01_05,1,5,18,-3.2928919006633097,411.6215819834096,37,225
01_05,1,5,19,-3.2928919006633097,411.6215819834096,12,237
01_05,1,5,20,-3.2928919006633097,411.6215819834096,10,247
01_05,1,5,21,-3.2928919006633097,411.6215819834096,0,247
01_05,1,5,22,-3.2928919006633097,411.6215819834096,0,247
