msoa_code,msoa_name,local_auth_code,local_auth_name,covid_19_deaths,covid_19_deaths_per_thousand,ons_total_deaths,ons_deaths_per_thousand,march_deaths,april_deaths,may_deaths,june_deaths,july_deaths,total_population_mid_2018,over_70_prop,all_bame_prop,all_black_prop,pakistani_or_bangladeshi_prop,all_indian_prop,hypertension,obesity,diabetes,asthma,heart_disease,income_rank,education_rank,health_rank,housing_rank,living_environment_rank
E02000290,Enfield 014,E09000010,Enfield,5,0.719527989638796,11,1.5829615772053534,0,10,0,1,0,6949,0.0611598791192977,0.548053024026512,0.276166804750069,0.0729080364540182,0.0197459265396299,11.72,8.74,6.06,4.88,1.86,3313.0,8115.5,15093.0,826.5,4905.5
E02000291,Enfield 015,E09000010,Enfield,3,0.292597288598458,16,1.5605188725251147,0,9,7,0,0,10253,0.108163464351897,0.297960555804571,0.12707306140744,0.0135589421783953,0.0171447781264007,11.11,6.48,4.61,4.31,2.03,12059.0,18591.0,21676.0,3285.0,8951.0
E02000292,Enfield 016,E09000010,Enfield,10,1.01708706265256,10,1.017087062652563,0,10,0,0,0,9832,0.0885882831570382,0.332737970161798,0.131540239546123,0.0218533305316242,0.0298382013027947,11.31,6.63,5.21,4.24,1.92,10808.5,16684.0,24068.0,5737.5,7343.0
E02000293,Enfield 017,E09000010,Enfield,2,0.309023485784919,4,0.6180469715698393,1,2,1,0,0,6472,0.159765142150803,0.190899001109877,0.0407483748216267,0.0123672110353575,0.0375772950689709,12.33,5.04,4.61,4.55,2.46,23246.5,28924.0,30998.5,5136.5,12104.0
E02000294,Enfield 018,E09000010,Enfield,4,0.424403183023872,9,0.9549071618037135,0,7,2,0,0,9425,0.0895490716180371,0.510192589255546,0.263205315913954,0.048316251830161,0.0299583286406126,12.71,8.45,6.66,4.6,1.95,6422.0,8280.0,22638.0,2643.0,7978.0
E02000295,Enfield 019,E09000010,Enfield,6,0.663496627225478,6,0.6634966272254783,0,6,0,0,0,9043,0.123631538206347,0.30642464771913,0.0630523047528063,0.020062096966802,0.0570814425603057,12.18,4.42,4.78,4.41,2.62,14009.0,25302.0,28172.0,2319.0,19380.0
E02000296,Enfield 020,E09000010,Enfield,18,1.72248803827751,25,2.3923444976076556,3,20,2,0,0,10450,0.112918660287081,0.315049816465652,0.0613529103303618,0.0220241216570529,0.0650235972732039,11.53,5.25,4.88,3.94,2.51,13460.0,27045.0,23866.0,3725.0,11321.0
E02000297,Enfield 021,E09000010,Enfield,5,0.519750519750519,7,0.7276507276507277,0,6,0,0,1,9620,0.144282744282744,0.249408474940847,0.0810927081092708,0.0263497526349752,0.0382878038287803,11.67,4.55,4.56,4.14,2.16,21591.0,24569.0,27410.0,9484.5,14294.0
E02000298,Enfield 022,E09000010,Enfield,10,1.2402331638348,11,1.364256480218281,1,9,1,0,0,8063,0.13295299516309,0.192828485456369,0.042753259779338,0.00626880641925777,0.0386158475426278,12.23,4.02,4.54,4.43,2.33,25598.0,31258.0,31477.0,8800.0,15201.0
E02000299,Enfield 023,E09000010,Enfield,7,0.696378830083565,9,0.8953442101074413,1,6,2,0,0,10052,0.0691404695582968,0.592998281786941,0.333870274914089,0.0321091065292096,0.0326460481099656,12.17,8.25,6.72,4.16,1.85,5598.0,7615.0,19917.0,1116.0,6221.0
