msoa_code,msoa_name,local_auth_code,local_auth_name,total_cases,total_population_mid_2018,cases_per_thousand,cx,cy,week,cases,cummulative_cases,cases_delta,cummulative_delta,cases_rank_stand,date
E02000073,Bostall,E09000004,Bexley,38,10922,3.4792162607581028,0.126990897,51.47193462,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000074,Lesney Farm & Colyers East,E09000004,Bexley,40,8527,4.690981587897268,0.177222482,51.46875826,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000075,Bursted Wood,E09000004,Bexley,19,8261,2.2999636847839247,0.14376472699999998,51.46898529,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000077,St Michael's,E09000004,Bexley,32,8241,3.8830239048659143,0.11438716800000001,51.46765272,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000078,Barnehurst North,E09000004,Bexley,26,7913,3.285732339188677,0.167562887,51.46550289,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000079,Bexleyheath Broadway,E09000004,Bexley,59,8660,6.812933025404157,0.140104374,51.45876551,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000080,Welling,E09000004,Bexley,18,10174,1.7692156477295067,0.105410824,51.45954839,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000081,Barnehurst South,E09000004,Bexley,19,8037,2.3640661938534278,0.159579812,51.45620239,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000082,Falconwood,E09000004,Bexley,26,9211,2.822711974812724,0.089869448,51.45794619,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000083,Crayford,E09000004,Bexley,35,11420,3.0647985989492117,0.181676015,51.45257334,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000084,Danson Park,E09000004,Bexley,18,11027,1.6323569420513286,0.128196884,51.4521711,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000085,Blackfen,E09000004,Bexley,14,8004,1.7491254372813594,0.11048310800000001,51.44831005,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000086,Lamorbey,E09000004,Bexley,15,7314,2.0508613617719442,0.09768660800000001,51.44427728,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000087,Bexley Village,E09000004,Bexley,16,8059,1.9853579848616454,0.152209264,51.44113499,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000088,Albany Park,E09000004,Bexley,19,7794,2.4377726456248396,0.123196695,51.43869243,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000089,Longlands & Halfway,E09000004,Bexley,58,7908,7.334344967121902,0.08594300199999999,51.43647503,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000090,Sidcup East,E09000004,Bexley,62,9542,6.497589603856634,0.097326175,51.43014960000001,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000091,Sidcup West,E09000004,Bexley,61,9966,6.120810756572346,0.11136085300000001,51.42553447,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000092,Foots Cray Meadows,E09000004,Bexley,29,6794,4.268472181336473,0.136391223,51.4227755,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000093,Queensbury South,E09000005,Brent,66,11147,5.920875571902754,-0.274991912,51.59353212,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000094,Kingsbury East & Colindale,E09000005,Brent,42,9183,4.573668735707285,-0.259808733,51.58838537,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000095,Kingsbury West,E09000005,Brent,36,9994,3.6021612967780667,-0.280392986,51.58433237,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000096,Kenton Woodcock Park,E09000005,Brent,15,7475,2.0066889632107023,-0.303805339,51.58040034,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000097,Kingsbury South,E09000005,Brent,29,9097,3.1878641310322084,-0.26405117899999997,51.57675837,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000098,Barnhill The Avenue,E09000005,Brent,47,8437,5.570700485954723,-0.284322248,51.57419173,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000099,Preston Park & East Lane,E09000005,Brent,22,8941,2.4605748797673637,-0.30144196,51.5692935,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000100,Northwick Park,E09000005,Brent,82,8813,9.304436627709066,-0.318079113,51.57105814,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000101,Forty Lane,E09000005,Brent,66,9598,6.876432590122942,-0.26967811399999997,51.56641358,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000102,Welsh Harp,E09000005,Brent,22,7514,2.927867979771094,-0.251306207,51.56647725,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000103,Dollis Hill,E09000005,Brent,41,9217,4.44830205055875,-0.234326096,51.56367452,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000104,Wembley North,E09000005,Brent,41,7281,5.631094629858536,-0.291966921,51.56258271,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000105,Sudbury East,E09000005,Brent,42,9726,4.318322023442319,-0.31296333,51.55956073,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000106,Neasden,E09000005,Brent,42,10652,3.9429215170859933,-0.250625461,51.5574695,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000107,Cricklewood Anson Road,E09000005,Brent,39,11533,3.3816006242955,-0.22036417100000003,51.55568817,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000108,Sudbury West,E09000005,Brent,23,6654,3.4565674782085964,-0.325273894,51.55720468,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000109,Tokyngton,E09000005,Brent,56,12893,4.343442177926006,-0.27722892600000004,51.55594749,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000110,Dudden Hill,E09000005,Brent,18,8622,2.0876826722338206,-0.231708505,51.55313755,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000111,Wembley West,E09000005,Brent,65,10798,6.019633265419522,-0.304684419,51.55150183,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000112,Wembley East,E09000005,Brent,69,10492,6.576439191765155,-0.28545338600000003,51.55018711,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000113,St Raphaels,E09000005,Brent,57,9815,5.807437595517066,-0.26168268100000003,51.5505381,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000114,Willesden Green,E09000005,Brent,27,10150,2.6600985221674875,-0.228719105,51.54679481,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000115,Brondesbury,E09000005,Brent,29,8811,3.2913403699920556,-0.21228113199999998,51.547182899999996,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000116,Roundwood Park,E09000005,Brent,40,9386,4.261666311527807,-0.23760405899999998,51.54450528,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000117,Church End,E09000005,Brent,83,13026,6.371871641332719,-0.249935354,51.54472568,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000118,Alperton East,E09000005,Brent,60,10342,5.8015857667762525,-0.288903492,51.54363657,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000119,Stonebridge,E09000005,Brent,106,9000,11.777777777777779,-0.269933431,51.53705104,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000120,Kilburn West,E09000005,Brent,13,9217,1.4104372355430184,-0.20028653100000002,51.54015992,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000121,Alperton West,E09000005,Brent,71,10763,6.596673789835548,-0.300253312,51.5402817,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000122,Brondesbury Park,E09000005,Brent,30,7812,3.8402457757296466,-0.22046794100000003,51.54073626,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000123,Harlesden,E09000005,Brent,57,15904,3.5840040241448694,-0.24568698600000002,51.53633505,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000124,Queens Park,E09000005,Brent,24,10126,2.370136282836263,-0.211222455,51.535219899999994,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000125,Kensal Green,E09000005,Brent,31,10452,2.9659395331037124,-0.22907705399999997,51.53435504,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000126,Kilburn Park,E09000005,Brent,30,7924,3.7859666834931853,-0.196864819,51.53309534,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000127,Mottingham,E09000006,Bromley,28,9451,2.9626494550841183,0.040321707000000005,51.43315014,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000128,Chislehurst North,E09000006,Bromley,17,7804,2.178370066632496,0.07337669,51.42335469,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000130,Penge East,E09000006,Bromley,32,8626,3.709714815673545,-0.046631325,51.41884979,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000131,Crystal Palace Park,E09000006,Bromley,24,10531,2.278985851296173,-0.069274605,51.41922866,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000132,New Beckenham,E09000006,Bromley,34,10185,3.3382425135002456,-0.029190347999999998,51.41541116,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000133,Chislehurst West & Elmstead,E09000006,Bromley,28,10607,2.6397661921372677,0.05858427099999999,51.40998584,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000134,Bromley North & Sundridge,E09000006,Bromley,53,11939,4.4392327665633635,0.018419704,51.41210177,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000135,Anerley North & Penge West,E09000006,Bromley,83,10537,7.877004840087311,-0.062448660999999996,51.41154875,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000136,Chislehurst East & Hoblingwell Wood,E09000006,Bromley,29,5755,5.039096437880104,0.08972506599999999,51.40775912,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000137,Shortlands Bromley Road,E09000006,Bromley,41,8491,4.828642091626428,-0.0028586709999999997,51.40745238,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000138,Beckenham East & Kelsey Park,E09000006,Bromley,38,8572,4.433037797480168,-0.018162077,51.40642988,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000139,Clock House & Cator Park,E09000006,Bromley,18,7852,2.2924095771777893,-0.04316922,51.40891622,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000140,St Mary Cray North,E09000006,Bromley,32,8749,3.657560864098754,0.108785862,51.40480506,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000141,Anerley South,E09000006,Bromley,16,7439,2.1508267240220458,-0.058022135999999995,51.40505465,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000142,Widmore,E09000006,Bromley,37,8840,4.1855203619909505,0.033249722,51.40473259,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000144,Bromley South,E09000006,Bromley,42,9871,4.254888055921386,0.014413407,51.39927397,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000145,St Mary Cray East,E09000006,Bromley,42,9173,4.578654747628911,0.135254959,51.39302892,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000146,Bickley West,E09000006,Bromley,46,9516,4.833963850357293,0.033027534,51.39412154,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000147,Langley Park,E09000006,Bromley,26,8293,3.1351742433377545,-0.0032033120000000003,51.39413699,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000148,Bickley East,E09000006,Bromley,22,6740,3.264094955489614,0.061654635,51.39241304,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000149,St Mary Cray South,E09000006,Bromley,34,8111,4.191838244359512,0.10266200800000001,51.39098439,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000150,Eden Park & Bethlem,E09000006,Bromley,31,8667,3.576785508249683,-0.029111891,51.38931105,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000151,Petts Wood,E09000006,Bromley,15,7655,1.9595035924232527,0.07902108599999999,51.38620237,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000152,Bromley Common,E09000006,Bromley,43,7927,5.424498549262016,0.048097798,51.38394042,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
E02000153,Hayes North,E09000006,Bromley,21,7913,2.653860735498547,0.01211773,51.38395216,10,0.0,0.0,-0.000921052381087771,-0.000921052381087771,0.0,08/03/2020
