msoa_code,msoa_name,local_auth_code,local_auth_name,total_population_mid_2018,covid_19_deaths,covid_19_deaths_per_thousand,ons_total_deaths,ons_deaths_per_thousand,total_cases,cases_per_thousand,cx,cy,population_density,over_70_prop,proportion_at_risk_jobs,insecure_proportion,all_bame_prop,all_black_prop,pakistani_or_bangladeshi_prop,all_indian_prop,hypertension,obesity,diabetes,asthma,heart_disease,income_rank,education_rank,health_rank,housing_rank,living_environment_rank
E02000881,Poplar Leaside,E09000030,Tower Hamlets,9149,7,0.765110941086457,10,1.0930156301235108,31,3.3883484533828834,-0.008453935,51.51629729,0.38927548096602543,0.0408787845666193,0.308906882591093,0.306072874493927,0.652337530756983,0.119988420900275,0.408886959038934,0.0138949196699956,0.19865319865319864,0.5122767857142858,0.4059734513274337,0.5254629629629629,0.31734317343173435,0.02446082271499144,0.1014839966217963,0.1935545517720639,0.14255245958032337,0.3408059249820817
E02000882,Limehouse North & Stepney East,E09000030,Tower Hamlets,10474,11,1.0502195913691,13,1.2411686079816688,28,2.673286232575902,-0.039841626,51.51675053,0.6013098649201802,0.0434409012793584,0.31700288184438,0.239193083573487,0.704207345420734,0.0715946071594607,0.534751278475127,0.0174337517433751,0.3880471380471381,0.5524553571428572,0.618362831858407,0.45138888888888884,0.4723247232472324,0.06131193144574653,0.22351298712490736,0.17790132036136205,0.21348469212246302,0.3149637652305487
E02000883,Poplar Central,E09000030,Tower Hamlets,8967,6,0.669120107059217,8,0.8921601427456228,32,3.5686405709824913,-0.013449545,51.51353401,0.67621776504298,0.0541987286717965,0.297514619883041,0.304093567251462,0.622767295597484,0.113836477987421,0.393710691823899,0.0124528301886792,0.2962962962962963,0.6953125,0.4823008849557522,0.6134259259259259,0.43173431734317347,0.03355769077043597,0.09410710284561954,0.12593815149409313,0.3025455796353629,0.2767778928087919
E02000884,Aldgate,E09000030,Tower Hamlets,13133,2,0.152288129140333,2,0.15228812914033352,18,1.3705931622630017,-0.066487734,51.5142349,0.6700777732296358,0.0305337698926368,0.182639434406913,0.126669285153181,0.580343385428131,0.0414924058991855,0.394122826326216,0.0296059872331058,0.21717171717171713,0.32031249999999994,0.44469026548672563,0.32407407407407407,0.25092250922509224,0.36345904810628465,0.5252934383564005,0.5444405837387074,0.17430340557275542,0.11993310504101297
E02000885,Shadwell North,E09000030,Tower Hamlets,7738,8,1.03385887826311,8,1.033858878263117,17,2.196950116309124,-0.053693528,51.51256136,0.823577568563242,0.0705608684414577,0.299607843137255,0.24078431372549,0.697026831036983,0.073821609862219,0.517766497461928,0.0165337200870195,0.36531986531986527,0.44308035714285715,0.5154867256637168,0.5532407407407408,0.4206642066420664,0.053573997985579304,0.2835278098553922,0.13441626129256426,0.2288613691090471,0.14985665365931355
E02000886,Limehouse East,E09000030,Tower Hamlets,9165,2,0.218221494817239,2,0.2182214948172395,8,0.872885979268958,-0.031566283,51.51171017,0.6009005321326238,0.0404800872885979,0.199746514575412,0.155893536121673,0.505323505323505,0.0625170625170625,0.282555282555282,0.0294840294840294,0.3207070707070707,0.49218749999999994,0.43030973451327437,0.9004629629629629,0.3653136531365314,0.2568066635757566,0.5526120753546252,0.40941626129256425,0.23345373237014103,0.24561997292346902
E02000887,Poplar West,E09000030,Tower Hamlets,11184,12,1.07296137339055,21,1.8776824034334765,27,2.4141630901287554,-0.021078282,51.51137663,0.5963978714695047,0.0362124463519313,0.299333526514054,0.275282526803825,0.621939953810623,0.0965357967667436,0.396997690531177,0.0165127020785219,0.2937710437710438,0.5870535714285714,0.47013274336283184,0.5925925925925927,0.40590405904059035,0.08670002717869191,0.17673520743204812,0.25825225851285616,0.26018231854145163,0.4091343473759656
E02000888,Shadwell Basin & Ratcliffe,E09000030,Tower Hamlets,10207,1,0.097971980013716,2,0.19594396002743217,14,1.3716077201920251,-0.047752906,51.51054421,0.6262791649611135,0.0330165572646223,0.195630829651448,0.147520864015709,0.600365185636031,0.0703590992087644,0.396348143639683,0.0327449786975045,0.31734006734006737,0.39843750000000006,0.4424778761061947,0.5023148148148148,0.3653136531365314,0.20390413915490252,0.6700391251141867,0.5472202918693537,0.17034743722050225,0.25348411244724056
E02000889,St George in the East & Wapping North,E09000030,Tower Hamlets,8485,2,0.235710076605774,2,0.2357100766057749,7,0.8249852681202121,-0.063322205,51.50811593,0.455178059762587,0.0412492634060106,0.185983827493261,0.130727762803235,0.495012091898428,0.0414147521160822,0.315145102781136,0.0290205562273276,0.2542087542087542,0.32142857142857145,0.3097345132743362,0.4097222222222221,0.28044280442804437,0.22700602727461666,0.6198314345300677,0.49539610840861714,0.22309941520467835,0.38715457513737356
E02000890,Tower Hill & Wapping South,E09000030,Tower Hamlets,6681,0,0.0,1,0.149678191887442,0,0.0,-0.065393982,51.50648559,0.4097421203438396,0.0594222421793144,0.127164769915883,0.0732310737258783,0.239861949956859,0.0219154443485763,0.0964624676445211,0.0226056945642795,0.2803030303030303,0.3024553571428572,0.21902654867256635,0.474537037037037,0.29151291512915123,0.6645350045564277,0.8729381754252917,0.7657053509381515,0.49250085999312,0.3975870032651111
